Tissue-major	Tissue-sub	Dataset	Year	PMID	GSE	Stage	Platform
Fallopian-Tube		GSE134355_Fallopian-Tube-Adult_4587	2020	32214235	GSE134355	Adult	Microwell-seq
Pleura		GSE134355_Pleura-Adult_9942	2020	32214235	GSE134355	Adult	Microwell-seq
Tonsil		GSE115006_Tonsil-Adult_6000	2018	29967419	GSE115006	Adult	10x
Ureter		GSE134355_Ureter-Adult_1886	2020	32214235	GSE134355	Adult	Microwell-seq
Ovary		GSE143380_Ovary-Adult_11108	2020	33257808	GSE143380	Adult	10x
Ovary		GSE118127_Ovary-Adult_40868	2019	31320652	GSE118127	Adult	10x
Nose	Olfactory neuroepithelium+respiratory epithelium	GSE139522_Nose-Adult_33060	2020	32066986	GSE139522	Adult	10x
Adrenal-gland	Adrenal-gland	GSE134355_Adrenal-Gland-Adult_8114	2020	32214235	GSE134355	Adult	Microwell-seq
Adrenal-gland	Adrenal-gland	GSE134355_Adrenal-Gland-Adult_8083	2020	32214235	GSE134355	Adult	Microwell-seq
Adrenal-gland	Adrenal-gland	GSE134355_Adrenal-Gland-Fetal_9875	2020	32214235	GSE134355	Fetal	Microwell-seq
Adrenal-gland	Adrenal-gland	GSE134355_Adrenal-Gland-Adult_8114	2020	32214235	GSE134355	Fetal	Microwell-seq
Airway_epithelium		GSE134355_Trachea-Adult_9949	2020	32214235	GSE134355	Adult	Microwell-seq
Airway_epithelium	BronchialEpithelial	GSE102580_Airway-Adult_3698	2018	30069046	GSE102580	Adult	Indrop
Bone	Calvaria	GSE134355_Bone-Fetal_5129	2020	32214235	GSE134355	Fetal	Microwell-seq
Bone	Rib	GSE134355_Bone-Fetal_1432	2020	32214235	GSE134355	Fetal	Microwell-seq
Bone	Rib	GSE134355_Bone-Fetal_4560	2020	32214235	GSE134355	Fetal	Microwell-seq
Breast	Breast	GSE138536_Breast-Fetal_1041	2020	31974247	GSE138536	Adult	Smart-seq2
Breast	Adult Human Breast Epithelium	GSE113196_Breast-Adult_24644	2019	31428694	GSE113196	Adult	10x
Choroid	RPE/choroid	GSE149100_Choroid-Adult_9539	2020	32531351	GSE149100	Adult	10x
Choroid	RPE/choroid	GSE149100_Choroid-Fetal_17229	2020	32531351	GSE149100	Fetal	10x
Decidua		PMID30429548_Decidua-Fetal_36164		30429548	NA	Fetal	10x
Decidua		PMID30429548_Decidua-Fetal_4326		30429548	NA	Fetal	Smart-seq2
Decidua		PMID30429548_Decidua-Fetal_7119		30429548	NA	Fetal	Smart-seq2
female-Gonad			2021	32214235	GSE134355	Fetal	Microwell-seq
female-Gonad			2022	32214235	GSE134355	Fetal	Microwell-seq
male-Gonad			2023	32214235	GSE134355	Fetal	Microwell-seq
male-Gonad			2024	32214235	GSE134355	Fetal	Microwell-seq
Peritoneum	Peritoneal dialysis fluid & Peritoneal tissue	GSE130888_Peritoneum-Adult_17198	2019	31167927	GSE130888	Adult	10x
Spleen		GSE134355_Bone-Adult_15664	2020	32214235	GSE134355	Adult	Microwell-seq
Uterus	endometrium	GSE111976_Uterus-Adult_70165	2020	32929266	GSE111976	Adult	10x
Uterus	Uterus	GSE134355_Uterus-Adult_7694	2020	32214235	GSE134355	Adult	Microwell-seq
Placenta		PMID30429548_Placenta-Adult_18547	2018	30429548	NA	Adult	10x
Placenta		GSE131696_Placenta-Adult_8589	2020	32772088	GSE131696	Adult	10x
Placenta	Chorionic-Villus	GSE134355_Placenta-Adult_9898	2020	32214235	GSE134355	Adult	Microwell-seq
Placenta		GSE134355_Placenta-Adult_9595	2020	32214235	GSE134355	Adult	Microwell-seq
Placenta		PMID28830992_Placenta-Adult_18871	2017	28830992	NA	Adult	10x
Prostate		GSE145843_Prostate-Adult_107205	2020	32497356	GSE145843	Adult	10x
Prostate		GSE134355_Prostate-Adult_2445	2020	32214235	GSE134355	Adult	Microwell-seq
Prostate		GSE117403_Prostate-Adult_107205	2020	30566875	GSE117403	Adult	10x
Pancreas		GSE84133_Pancreas-Adult_8569	2016	27667365	GSE84133	Adult	InDrop
Pancreas		GSE85241_Pancreas-Adult_2456	2016	27693023	GSE85241	Adult	CEL-seq2
Pancreas		PMID27667667_Pancreas-Adult_1067	2016	27667667	NA	Adult	Smart-seq2
Pancreas		GSE134355_Pancreas-Adult_9727	2020	32214235	GSE134355	Adult	Microwell-seq
Pancreas		GSE134355_Pancreas-Fetal_8977	2020	32214235	GSE134355	Fetal	Microwell-seq
Pancreas		GSE134355_Pancreas-Fetal_6939	2020	32214235	GSE134355	Fetal	Microwell-seq
Pancreas		GSE134355_Pancreas-Fetal_2830	2020	32214235	GSE134355	Fetal	Microwell-seq
Kidney		GSE109205_Kidney-Fetal_4187	2018	30166318	GSE109205	Fetal	Drop-seq
Kidney		GSE134355_Kidney-Fetal_3057	2020		GSE134355	Fetal	Microwell-seq
Kidney		GSE134355_Kidney-Fetal_4511	2020		GSE134355	Fetal	Microwell-seq
Kidney		GSE134355_Kidney-Fetal_4939	2020		GSE134355	Fetal	Microwell-seq
Kidney		GSE134355_Kidney-Fetal_9932	2020			Fetal	Microwell-seq
Kidney		PMID31597962_Kidney-Fetal_2748	2020	31597962	NA	Fetal	10x
Kidney		PMID31604275_Kidney-Adult_9452		31604275		Adult	10x
Kidney		GSE109564_Kidney-Adult_4487			GSE109564	Adult	Indrop
Kidney		GSE114156_Kidney-Adult_3128			GSE114156	Adult	Indrop
Kidney		GSE128992_Kidney-Adult_2663			GSE128992	Adult	10x
Kidney		GSE131685_Kidney-Adult_21970			GSE131685	Adult	10x
Kidney		GSE145927_Kidney-Adult_50126			GSE145927	Adult	10x
Kidney		GSE159805_Kidney-Adult_872			GSE159805	Adult	10x
Kidney		GSE134355_Kidney-Adult_8877	2020	32214235	GSE134355	Adult	Microwell-seq
Kidney		GSE134355_Kidney-Adult_9966	2020	32214235	GSE134355	Adult	Microwell-seq
Kidney		GSE134355_Kidney-Adult_3849	2020	32214235	GSE134355	Adult	Microwell-seq
Testis	Male Gonad	GSE112013_Testis-Adult_6490	2018	30315278	GSE112013	Adult	10x
Testis		GSE149512_Testis-Adult_44788	2020	33173058	GSE149512		
Testis	Caput Epididymis	GSE148963_Testis-Adult_5299	2020	32855272	GSE148963	Adult	10x
Testis		GSE130151_Testis-Adult_3280	2019	31462300	GSE130151	Adult	10x
Testis		GSE120506_Testis-Fetal_1340	2018	30315278	GSE120506	Fetal(13 month)	10x
